"player_name","team_abbreviation","age","gp","min","dre","efg","rel_efg","ts","rel_ts","stk","plus_minus"
NA,NA,NA,35,56,-1.7,50.74,1.24,3.07,-50.91,1.3,3.8
NA,NA,NA,4,1122,-3.84,32.69,-16.81,0.97,-53.01,1.7,-21.6
NA,NA,NA,43,1227,-0.45,48.95,-0.55,4.54,-49.44,4,6.5
NA,NA,NA,50,1294,-0.56,47.04,-2.46,1.99,-51.99,4.2,-1.1
"Aaron Miles","RNO",28,17,587,5.92,50.68,1.18,2.86,-51.12,3.8,8.8
"Abdulai Jalloh","NMX",25,38,940,-1.29,45.83,-3.66,2.17,-51.82,2.8,-5.2
"Adam Koch","BAK",23,22,478,0.38,50.98,1.48,3.46,-50.52,3.1,1.3
"Adam Zahn","FWN",26,4,47,-2,53.06,3.56,2.11,-51.87,2,2.9
"Alan Anderson","NMX",28,10,374,3.57,60.53,11.03,3.48,-50.5,1.8,3.8
"Alex Smith","RNO",24,3,18,-2.6,0,-49.5,0.84,-53.14,0,-92.1
"Alex Zampier","NMX",22,1,3,-2.07,NA,NA,NA,NA,0,28.6
"Alton Ford","ERI",30,7,32,-2.19,28.28,-21.21,1.93,-52.05,4.2,-33.8
"Amadou Mbodji","UTA",25,4,61,-1.38,85.19,35.69,2.24,-51.74,4.6,5.4
"Andre Emmett","RNO",28,5,97,-2.06,40.38,-9.12,2.95,-51.03,1.5,-1.5
"Andre Ingram","UTA",25,50,1457,1.22,56.05,6.55,4.58,-49.4,1.4,-1.6
"Anthony Goods","DAK",24,39,1268,-0.99,49.03,-0.47,4.03,-49.95,1.2,0
"Anthony Harris","UTA",26,41,968,-2.8,46.3,-3.2,4.73,-49.25,1.6,-10.7
"Anthony Kent","FWN",28,50,913,-4.44,45,-4.5,3.08,-50.9,3.6,-2.4
"Anthony Mason","SXF",24,15,531,1.35,52.07,2.57,4.54,-49.44,3.8,-4.3
"Antoine Walker","IDA",34,43,1439,-1.58,51.18,1.69,5.75,-48.23,1.8,4.6
"Antonio Anderson","MNE",26,41,1334,-3.39,50.47,0.97,4.38,-49.6,1.9,-4.2
