"player_name","team_abbreviation","age","gp","min","dre","efg","rel_efg","ts","rel_ts","stk","plus_minus"
NA,NA,NA,19,332,-1.97,49.01,-1,5.21,-48.55,2.6,-15
NA,NA,NA,1,18,-1.5,67.35,17.34,1.41,-52.35,3.2,11.5
NA,NA,NA,1,14,-2.09,27.73,-22.28,5.62,-48.14,0,32.1
NA,NA,NA,1,31,-1.65,79.55,29.54,4.85,-48.91,10.6,-1.8
NA,NA,NA,1,326,-11.57,33.73,-16.27,33.73,-20.03,2.8,0
NA,NA,NA,19,28,-2.05,40.37,-9.64,8.74,-45.02,2.2,-6
"Aaron Bowen","ERI",24,36,579,-3.93,52.92,2.91,6.47,-47.29,2.3,-6.4
"Aaron Craft","SCW",25,30,1055,3.15,50,-0.01,5.27,-48.49,3.7,-0.9
"Aaron Harrison","ERI",21,13,389,-1.25,40.93,-9.08,2.79,-50.97,2.3,-11.7
"Adonis Thomas","GRD",23,2,50,-2.47,41.53,-8.48,41.53,-12.24,1,-16.7
"Adreian Payne","ERI",25,3,105,-1.07,45.99,-4.02,3.27,-50.49,3.3,8.5
"Akeem Richmond","RNO",25,14,139,0.26,64.81,14.8,8.21,-45.55,0.9,2.7
"Alex Davis","ERI",24,50,1341,-2.64,46.72,-3.28,2.91,-50.85,3.6,-11.5
"Alex Stepheson","IWA",28,32,1060,0.93,58.28,8.28,3.1,-50.67,2.5,3.5
"Allen Durham","TEX",27,24,565,0.7,56.79,6.78,5.45,-48.31,2.7,5.5
"Amadou Mbodji","RNO",30,6,28,-2.61,66.67,16.66,4.19,-49.57,1.6,-34.9
"Amir Williams","RGV",23,38,508,-1.69,61.54,11.53,2.34,-51.42,3.3,-5.3
"Andre Dawkins","TEX",24,12,360,0.66,60.93,10.92,10.89,-42.88,1.6,-5.2
"Andre Ingram","LAD",30,50,1319,3.49,65.73,15.72,6.35,-47.41,2.2,1.4
"Andre Stringer","MNE",24,45,924,-1.45,46.36,-3.64,6.07,-47.69,2.2,-0.3
"Andrew Harrison","IWA",21,46,1622,1.64,50,-0.01,2.91,-50.85,2.7,5.1
"Anthony Bennett","RAP",23,6,107,-1.45,39.45,-10.55,4.11,-49.65,4.2,-8.1
"Anthony Brown","LAD",23,7,235,-4.37,46.72,-3.29,6.3,-47.46,1.4,-3.1
"Anthony Harris","FWN",31,29,431,-3.51,48.85,-1.16,6.55,-47.21,2.4,-5.8
"Anthony Vereen","SCW",30,43,627,-4.33,47.89,-2.12,3.18,-50.58,1.8,0.4
"Anthony Walker","FWN",22,13,131,-0.57,64.21,14.2,4.4,-49.36,8.7,-8.7
"Antoine Agudio","CTN",31,36,590,-2.32,56.82,6.81,6.28,-47.48,1.1,-0.2
"Antonio Barton","CTN",24,3,32,-3.54,10.87,-39.14,1.53,-52.23,0,-33.8
"Aqeel Quinn","RGV",24,1,9,-1.5,100.26,50.26,9.32,-44.44,0,4.8
"Asauhn Dixon-Tatum","MNE",25,16,218,-6.3,33.63,-16.38,3.11,-50.65,2.8,3.8
"Ashton Pitts","GRD",28,2,15,-2.48,100,49.99,101.67,47.91,0,-3
"Ashton Smith","RAP",27,24,256,-7.23,45.67,-4.33,4.41,-49.35,0.9,-6.9
"Askia Booker","BAK",22,47,974,0.34,49.58,-0.43,3.81,-49.95,1.7,2.5
"Axel Toupane","RAP",23,32,949,-0.36,47.73,-2.28,3,-50.76,1.9,-0.7
"Baron Davis","DEL",37,6,135,-1.4,44.49,-5.52,7.38,-46.38,3.1,-10.4
"Ben Strong","WES",29,10,154,-2.22,47.01,-2.99,5.12,-48.64,1.5,14
"Bo Barnes","BAK",25,3,25,-2.16,43.95,-6.06,43.63,-10.13,2,-2
"Boban Marjanovic","AUS",27,3,79,0.56,80.57,30.56,9.07,-44.69,3,-10.8
"Bobby Ray Parks Jr.","TEX",23,32,426,-2.65,45.17,-4.83,3.33,-50.43,2.3,-0.9
"Boubacar Moungoro","OKL",21,47,897,-2.44,46.38,-3.63,8.37,-45.39,2.3,0.3
"Branden Dawson","ERI",23,29,613,0.9,52.3,2.29,5.2,-48.56,4.1,-7.4
"Brandon Ashley","TEX",21,33,1046,-0.08,51.06,1.05,5.23,-48.53,3.6,4.8
"Brandon Fields","AUS",27,50,1442,-2.32,47.62,-2.39,4.09,-49.67,1.4,-1
"Brandon Jennings","GRD",26,1,27,-2.09,55.38,5.37,5.68,-48.08,0,38.6
"Briante Weber","SXF",23,28,805,3.21,50.64,0.64,5.95,-47.81,3.8,10.2
"Bruce Massey","GRD",25,7,211,-2.38,46.47,-3.53,4.94,-48.82,2.5,2.9
"Bruno Caboclo","RAP",20,37,1270,0.32,49.45,-0.55,5.61,-48.15,4,1.9
"Bryant Voiles","RNO",27,5,24,-1.86,100,49.99,99.41,45.65,1.7,-8.5
"Bryce Cotton","AUS",23,6,198,2.01,62.92,12.92,4.29,-49.47,2.1,5
"Bryce Dejean-Jones","IDA",23,9,282,3.82,50.22,0.22,3.66,-50.1,3.4,2.1
"Bubu Palo","SXF",24,50,1347,-1.1,49.21,-0.79,2.07,-51.69,1.3,8.1
"Byron Mullens","SXF",27,27,694,-2.39,45.32,-4.68,5.84,-47.93,1.8,4.7
"Byron Wesley","SXF",23,13,102,-2.29,60.98,10.97,7.21,-46.55,1,-0.9
"C.J. Wilcox","CTN",25,21,687,2.58,57.21,7.21,6.5,-47.26,1.5,9.7
"CJ Fair","FWN",24,50,1663,0.41,52.78,2.77,4.62,-49.14,2.2,-3.1
"CJ Giles","WES",30,4,23,-2.5,0,-50.01,0.57,-53.19,5.6,-22.2
"Cady Lalanne","AUS",24,50,1305,0.49,52.51,2.51,4.37,-49.39,3.3,4.7
"Cam Griffin","TEX",22,6,36,-2.21,49.57,-0.44,5.59,-48.17,1.1,-18.4
"Cameron Bairstow","AUS",25,5,133,-2.1,47.62,-2.39,4.37,-49.39,2.5,9.6
"Cameron Payne","OKL",21,2,68,-1.18,51.07,1.06,7.72,-46.04,3.4,4.1
"Cartier Martin","IWA",31,5,197,0.83,50.47,0.47,4.89,-48.87,3.1,6.5
"Chad Toppert","RNO",30,34,728,1.46,67.8,17.8,23.23,-30.53,1.1,12
"Charles Jackson","DEL",23,6,131,-0.29,57.26,7.25,4.2,-49.56,4.9,-7.9
"Chris Crawford","CTN",23,15,325,-2.23,40.67,-9.34,21.99,-31.78,2.5,4.7
"Chris Douglas-Roberts","TEX",29,15,546,0.26,54.26,4.25,5.41,-48.35,2.3,0.4
"Chris Tang","IWA",20,9,68,-3.05,25,-25.01,2.51,-51.25,1.3,-6.5
"Chris Udofia","SCW",23,45,1150,-2.14,47.42,-2.58,3.3,-50.46,3.6,-2.7
"Chris Walker","RGV",21,47,977,1.37,60.27,10.27,3.79,-49.97,4.3,-2.1
"Christian Wood","DEL",20,32,922,4.41,55.64,5.64,3.59,-50.17,3.1,-1.9
"Cleanthony Early","WES",25,7,234,-0.54,50,-0.01,4.12,-49.64,2.9,-0.4
"Cliff Alexander","SCW",20,4,108,-1.71,51.96,1.95,4.48,-49.28,4.3,-6.4
"Cliff Hammonds","RNO",30,46,1386,0.63,52.34,2.33,6.9,-46.86,2.2,5
"Corey Hawkins","IDA",24,39,993,1.26,55.06,5.05,6.21,-47.56,2.1,0
"Corey Walden","MNE",23,41,1068,2.24,58.63,8.63,3.51,-50.25,2.2,8.2
"Coron Williams","MNE",26,39,482,1.58,69.55,19.54,9.26,-44.5,1.1,12.5
"Cory Jefferson","BAK",25,19,633,1.99,54.05,4.05,3.94,-49.82,2.4,4.6
"Coty Clarke","MNE",23,44,1152,6.8,59.07,9.06,4.57,-49.19,3.3,11.1
"Cristiano Felicio","CTN",23,4,95,-0.66,69.51,19.51,13.29,-40.48,4.3,4.7
"D.J. Shumpert","LAD",26,22,331,-0.35,51.47,1.46,2.35,-51.41,5.3,2.7
"DJ Stephens","IWA",25,38,912,5.12,60.2,10.19,5.54,-48.22,4.7,5.7
"Da'Shonte Riley","IDA",25,33,475,-2.75,47.17,-2.84,7.48,-46.28,5.5,-13.8
"DaJuan Summers","WES",28,3,117,0.26,58.19,8.19,6.08,-47.68,2.9,9.2
"Dahntay Jones","GRD",35,43,1534,0.76,58.53,8.52,3.05,-50.71,1.4,-1.1
"Dakari Johnson","OKL",20,50,1380,0.87,52.76,2.75,3.36,-50.4,3.1,-0.4
"Dallin Bachynski","GRD",25,13,102,-2.62,41.67,-8.34,4.23,-49.53,1.4,-4.3
"Damian Saunders","DEL",27,1,16,-2.22,25.23,-24.78,1.09,-52.67,2.8,8.3
"Damien Inglis","WES",21,16,343,1.8,48.7,-1.31,4.08,-49.68,3.3,8.5
"Dane Miller","OKL",26,26,450,-3.58,49.35,-0.65,2.82,-50.94,3,-1.7
"Daniel Coursey","SCW",24,44,612,-1.79,54.33,4.32,8.16,-45.6,3.1,-4
"Daniel Nwaelele","SCW",32,16,471,-1,50,-0.01,4.91,-48.85,1.9,-13.1
"Daniel Orton","SCW",25,20,471,0.68,54.72,4.72,2.93,-50.83,7.3,1.5
"Darington Hobson","SCW",28,44,1532,2.19,49.76,-0.24,5.59,-48.17,2.9,-4.1
"Darion Atkins","WES",23,50,1472,-2.49,46.31,-3.7,11.37,-42.39,3.8,0.5
"Darius Morris","RGV",25,3,84,-0.46,52.81,2.8,5.99,-47.77,2.8,6.7
"Darrun Hilliard","GRD",23,3,98,0.88,60,9.99,4.13,-49.63,4.4,28.9
